Timestamp,Violation_Type,Plate_Number,Image_Path
2026-02-23_14-52-15,No_Helmet,Unknown,evidence/2026-02-23_14-52-15_No_Helmet.jpg
2026-02-23_14-52-18,No_Helmet,Unknown,evidence/2026-02-23_14-52-18_No_Helmet.jpg
2026-02-23_14-52-21,No_Helmet,Unknown,evidence/2026-02-23_14-52-21_No_Helmet.jpg
2026-02-23_14-52-24,No_Helmet,Unknown,evidence/2026-02-23_14-52-24_No_Helmet.jpg
2026-02-23_14-52-27,No_Helmet,Unknown,evidence/2026-02-23_14-52-27_No_Helmet.jpg
2026-02-23_14-52-30,No_Helmet,Unknown,evidence/2026-02-23_14-52-30_No_Helmet.jpg
2026-02-23_14-52-33,No_Helmet,Unknown,evidence/2026-02-23_14-52-33_No_Helmet.jpg
2026-02-23_14-52-36,No_Helmet,Unknown,evidence/2026-02-23_14-52-36_No_Helmet.jpg
2026-02-23_14-52-39,No_Helmet,Unknown,evidence/2026-02-23_14-52-39_No_Helmet.jpg
2026-02-23_14-52-43,No_Helmet,Unknown,evidence/2026-02-23_14-52-43_No_Helmet.jpg
2026-02-23_14-52-46,No_Helmet,Unknown,evidence/2026-02-23_14-52-46_No_Helmet.jpg
2026-02-23_14-52-49,No_Helmet,Unknown,evidence/2026-02-23_14-52-49_No_Helmet.jpg
2026-02-23_14-54-22,No_Helmet,Unknown,evidence/2026-02-23_14-54-22_No_Helmet.jpg
2026-02-23_14-54-25,No_Helmet,Unknown,evidence/2026-02-23_14-54-25_No_Helmet.jpg
2026-02-23_14-54-28,No_Helmet,Unknown,evidence/2026-02-23_14-54-28_No_Helmet.jpg
2026-02-23_14-54-31,No_Helmet,Unknown,evidence/2026-02-23_14-54-31_No_Helmet.jpg
2026-02-23_14-54-34,No_Helmet,Unknown,evidence/2026-02-23_14-54-34_No_Helmet.jpg
2026-02-23_14-54-37,No_Helmet,Unknown,evidence/2026-02-23_14-54-37_No_Helmet.jpg
2026-02-23_14-54-40,No_Helmet,Unknown,evidence/2026-02-23_14-54-40_No_Helmet.jpg
2026-02-23_14-54-43,No_Helmet,Unknown,evidence/2026-02-23_14-54-43_No_Helmet.jpg
2026-02-23_14-54-46,No_Helmet,Unknown,evidence/2026-02-23_14-54-46_No_Helmet.jpg
2026-02-23_14-54-49,No_Helmet,Unknown,evidence/2026-02-23_14-54-49_No_Helmet.jpg
2026-02-23_14-54-52,No_Helmet,Unknown,evidence/2026-02-23_14-54-52_No_Helmet.jpg
2026-02-23_14-54-55,No_Helmet,Unknown,evidence/2026-02-23_14-54-55_No_Helmet.jpg
2026-02-23_14-54-58,No_Helmet,Unknown,evidence/2026-02-23_14-54-58_No_Helmet.jpg
2026-02-23_14-55-01,No_Helmet,Unknown,evidence/2026-02-23_14-55-01_No_Helmet.jpg
2026-02-23_14-55-04,No_Helmet,Unknown,evidence/2026-02-23_14-55-04_No_Helmet.jpg
2026-02-23_14-55-07,No_Helmet,Unknown,evidence/2026-02-23_14-55-07_No_Helmet.jpg
2026-02-23_14-55-10,No_Helmet,Unknown,evidence/2026-02-23_14-55-10_No_Helmet.jpg
2026-02-23_14-55-14,No_Helmet,MP0-,evidence/2026-02-23_14-55-14_No_Helmet.jpg
2026-02-23_14-55-17,No_Helmet,Unknown,evidence/2026-02-23_14-55-17_No_Helmet.jpg
2026-03-23_10-10-31,No_Helmet,Unknown,evidence/2026-03-23_10-10-31_No_Helmet.jpg
2026-03-23_10-10-34,No_Helmet,Unknown,evidence/2026-03-23_10-10-34_No_Helmet.jpg
2026-03-23_10-10-37,No_Helmet,Unknown,evidence/2026-03-23_10-10-37_No_Helmet.jpg
2026-03-23_10-10-40,No_Helmet,Unknown,evidence/2026-03-23_10-10-40_No_Helmet.jpg
2026-03-23_10-10-43,No_Helmet,Unknown,evidence/2026-03-23_10-10-43_No_Helmet.jpg
2026-03-23_10-12-16,No_Helmet,Unknown,evidence/2026-03-23_10-12-16_No_Helmet.jpg
2026-03-23_10-12-19,No_Helmet,Unknown,evidence/2026-03-23_10-12-19_No_Helmet.jpg
2026-03-23_10-12-22,No_Helmet,Unknown,evidence/2026-03-23_10-12-22_No_Helmet.jpg
2026-03-23_10-33-57,No_Helmet,Unknown,evidence/2026-03-23_10-33-57_No_Helmet.jpg
2026-03-23_10-34-00,No_Helmet,Unknown,evidence/2026-03-23_10-34-00_No_Helmet.jpg
2026-03-23_10-34-04,No_Helmet,Unknown,evidence/2026-03-23_10-34-04_No_Helmet.jpg
2026-03-23_10-34-31,No_Helmet,Unknown,evidence/2026-03-23_10-34-31_No_Helmet.jpg
2026-03-23_10-34-34,No_Helmet,Unknown,evidence/2026-03-23_10-34-34_No_Helmet.jpg
2026-03-23_10-34-42,No_Helmet,Unknown,evidence/2026-03-23_10-34-42_No_Helmet.jpg
